pl_name,disc_year,pl_radj,pl_bmassj,pl_eqt,st_rad,Atm height,Atm scale Height,Precision,Surface Gravity,Surface Gravity 2,rastr,decstr,sy_vmag
GJ 367 b,2021,0.064,0.00172,1745.0,0.46,0.12688664882480027,567.7294403833992,0.039405249065280215,10.883771167945392,1088.3771167945392,09h44m29.15s,-45d46m44.46s,10.152999999999999
TOI-500 b,2022,0.10400000000000001,0.00447,1617.0,0.68,0.07351988265141278,534.5442456684636,0.06800881366618883,10.711535901079595,1071.1535901079594,07h06m14.18s,-47d35m16.14s,10.54
TOI-561 b,2020,0.129,0.01007,2480.0,0.83,0.06208417146440868,559.9072799510275,0.0805358255101524,15.684148771957068,1568.4148771957068,09h52m44.44s,+06d12m57.97s,10.252
TOI-178 b,2021,0.10300000000000001,0.00472,1040.0,0.65,0.044350399321217565,319.3598189954011,0.11273855650738104,11.531304818113425,1153.1304818113424,00h29m12.48s,-30d27m14.82s,11.955
TOI-431 b,2021,0.114,0.00966,1862.0,0.73,0.04294141693020936,342.23682348689675,0.1164377041429784,19.265413148576837,1926.5413148576836,05h33m04.62s,-26d43m25.93s,9.12
HD 137496 b,2021,0.11699999999999999,0.012709999999999999,2130.0,1.59,0.038316769262240334,313.4153477394206,0.13049116865203203,24.06493706568948,2406.4937065689483,15h26m58.09s,-16d30m32.41s,9.899
GJ 1252 b,2020,0.106,0.00658,1089.0,0.39,0.03428284226529804,254.05526527458062,0.14584555041578706,15.178367586727589,1517.8367586727588,20h27m42.88s,-56d27m44.23s,12.68
HD 110113 b,2021,0.183,0.01432,1371.0,0.97,0.034238481537804205,438.03730635046566,0.1460345136649615,11.082857307535031,1108.285730753503,12h40m08.78s,-44d18m43.48s,10.09
TOI-178 d,2021,0.22899999999999998,0.009470000000000001,690.0,0.65,0.03260645339734766,522.0168958327915,0.15334387763885785,4.680474866837883,468.04748668378824,00h29m12.48s,-30d27m14.82s,11.955
LTT 3780 b,2020,0.12,0.007359999999999999,1000.0,0.38,0.03186195359879009,267.3001245654017,0.1569269751302967,13.247265041211879,1324.7265041211879,10h18m34.78s,-11d43m04.08s,13.14
GJ 3473 b,2020,0.113,0.00585,773.0,0.36,0.029179042759073032,230.5127745912397,0.17135586116666843,11.874350999870703,1187.4350999870703,08h02m22.47s,+03d20m13.79s,13.74
LTT 3780 b,2020,0.11900000000000001,0.00824,892.0,0.37,0.02517407798184483,209.43345092886173,0.19861700609674465,15.081487973034834,1508.1487973034834,10h18m34.78s,-11d43m04.08s,13.14
HD 260655 b,2022,0.111,0.00673,709.0,0.44,0.022851942301827504,177.33383734719996,0.2187997822662165,14.157286138304054,1415.7286138304053,06h37m09.97s,+17d33m58.57s,9.63
HD 86226 c,2020,0.193,0.02281,1311.0,1.05,0.021677224955699348,292.48695945843417,0.23065683039310836,15.871631455004842,1587.1631455004842,09h56m29.64s,-24d05m57.07s,7.93
HATS-38 b,2020,0.614,0.07400000000000001,1294.0,1.1,0.020981662496807746,900.6452901839963,0.23830332800180756,5.087517084397109,508.7517084397109,10h17m05.05s,-25d16m34.67s,11.967
LTT 1445 A c,2022,0.102,0.00485,508.0,0.27,0.02087810678571704,148.88015099661894,0.23948531594926792,12.082374652075675,1208.2374652075675,03h01m50.99s,-16d35m40.18s,10.59
TOI-421 b,2020,0.239,0.02256,981.0,0.87,0.020309385450689207,339.34401765210885,0.2461915951194044,10.236563777913323,1023.6563777913324,05h27m24.79s,-14d16m36.27s,9.931000000000001
EPIC 249893012 b,2020,0.174,0.027530000000000002,1616.0,1.71,0.019959670264836946,242.79968837199274,0.25050514029826065,23.567776882112593,2356.7776882112594,15h12m59.58s,-16d43m28.73s,11.429
HD 93963 A b,2022,0.12,0.02454,2042.0,1.04,0.019513330239227716,163.70357164255785,0.2562350935848194,44.16954947164939,4416.954947164939,10h51m06.41s,+25d38m27.83s,9.182
TOI-178 e,2021,0.19699999999999998,0.01214,600.0,0.65,0.019026887875600376,262.04718537940624,0.26278601275681457,8.107690049500007,810.7690049500007,00h29m12.48s,-30d27m14.82s,11.955
GJ 486 b,2021,0.11599999999999999,0.008870000000000001,701.0,0.33,0.01791518744330761,145.28636564449306,0.2790928097081004,17.08514010623909,1708.5140106239091,12h47m55.57s,+09d44m57.91s,11.39
LTT 9779 b,2020,0.42100000000000004,0.09225,1978.0,0.95,0.01764050352641252,519.204666896746,0.2834386213813949,13.490035307448197,1349.0035307448197,23h54m40.53s,-37d37m41.61s,9.79
TOI-178 c,2021,0.149,0.015009999999999999,873.0,0.65,0.016935139912095196,176.4089323927786,0.29524409163156456,17.523427601354744,1752.3427601354745,00h29m12.48s,-30d27m14.82s,11.955
L 168-9 b,2020,0.124,0.014469999999999998,965.0,0.6,0.016160300659851305,140.0930646494272,0.309400184145213,24.39136268714969,2439.136268714969,23h20m06.86s,-60d03m56.63s,11.005
HD 260655 c,2022,0.13699999999999998,0.00972,557.0,0.44,0.01534187593824737,146.94152675447722,0.32590538602485863,13.42258101130235,1342.258101130235,06h37m09.97s,+17d33m58.57s,9.63
TOI-1201 b,2021,0.215,0.01976,703.0,0.51,0.01494774959026315,224.67760614505073,0.3344985122882284,11.079519434378726,1107.9519434378726,02h48m59.45s,-14d32m14.22s,12.26
TOI-954 b,2020,0.852,0.174,1526.0,1.89,0.014602050605265976,869.7590538047667,0.34241766003720303,6.212708284380221,621.2708284380221,04h07m45.85s,-25d12m31.69s,10.343
HD 63935 b,2021,0.267,0.03398,911.0,0.96,0.013988631600761607,261.11511276550556,0.3574331030154355,12.354118279432761,1235.4118279432762,07h51m41.91s,+09d23m06.87s,8.58
TOI-763 b,2020,0.203,0.0308,1038.0,0.9,0.013369391591701772,189.73750972019494,0.3739885966915235,19.371780697040283,1937.1780697040283,12h57m52.34s,-39d45m29.02s,10.265
TOI-1062 b,2021,0.20199999999999999,0.031939999999999996,1077.0,0.84,0.013310707194683122,187.97409983887331,0.3756374418631354,20.288179381106968,2028.8179381106968,02h32m29.03s,-78d01m25.26s,10.249
TOI-776 b,2020,0.165,0.01259,514.0,0.54,0.013164073613642132,151.8517358165503,0.3798216377959497,11.985847421405502,1198.5847421405501,11h54m18.72s,-37d33m12.08s,11.536
HATS-37 A b,2020,0.606,0.099,1085.0,0.88,0.012978847718438541,549.8627190433167,0.38524221167158745,6.987162592115735,698.7162592115735,13h19m12.44s,-22d59m12.64s,12.341
HD 93963 A c,2022,0.28800000000000003,0.060410000000000005,1344.0,1.04,0.012521371180400163,252.10989521077133,0.3993172894536146,18.87707769898309,1887.707769898309,10h51m06.41s,+25d38m27.83s,9.182
NGTS-12 b,2020,1.048,0.20800000000000002,1257.0,1.59,0.012376623918440537,906.794738190677,0.4039873904991373,4.908532522623942,490.85325226239416,11h44m59.99s,-35d38m26.03s,12.382
TOI-132 b,2020,0.305,0.07048,1395.0,0.9,0.011797150521045779,251.5489299734336,0.42383116084516714,19.6370895176414,1963.70895176414,22h33m35.92s,-43d26m12.74s,11.197000000000001
TOI-824 b,2020,0.261,0.0581,1253.0,0.69,0.010999790533070878,200.71065890491224,0.45455411036851073,22.1057890277393,2210.5789027739297,14h48m39.71s,-57d35m19.92s,11.314
HD 73583 b,2022,0.249,0.03209,714.0,0.65,0.01082671764810083,188.4697577165979,0.46182048544297966,13.414729694234957,1341.4729694234957,08h38m45.19s,-13d15m23.50s,9.67
NGTS-14 A b,2021,0.444,0.092,1143.0,0.84,0.010779791037171454,334.6099312126639,0.4638308834335222,12.095749672399451,1209.5749672399452,21h54m04.20s,-38d22m38.71s,13.267999999999999
HAT-P-64 b,2021,1.703,0.58,1766.0,1.74,0.01013319319385031,1206.4421029460832,0.4934278765191637,5.183338849561922,518.3338849561923,04h35m53.85s,+02d25m52.58s,12.855
TOI-1064 b,2022,0.231,0.042480000000000004,784.0,0.73,0.008331294828924762,134.54575429332553,0.600146808229724,20.633431070225225,2063.3431070225224,19h44m00.94s,-47d33m43.31s,10.937999999999999
HATS-72 b,2020,0.722,0.1254,739.0,0.72,0.008314824146306316,419.69691838432783,0.6013356280326317,6.234965353740133,623.4965353740133,22h36m06.20s,-17d00m01.10s,12.324000000000002
AU Mic b,2020,0.363,0.053489999999999996,593.0,0.75,0.007864256855666727,199.57669615625554,0.6357879824839601,10.521320518235322,1052.1320518235323,20h45m09.87s,-31d20m32.82s,8.81
TOI-1789 b,2021,1.44,0.7,1927.0,2.17,0.00774667142647941,779.871666379107,0.6454385018718064,8.749514576585442,874.9514576585442,09h30m58.42s,+26d32m23.98s,9.721
TOI-640 b,2021,1.771,0.88,1749.0,2.08,0.006878514666479437,851.64527860024,0.7269011178192488,7.272043246691151,727.2043246691151,06h38m56.30s,-36d38m46.07s,10.51
CoRoT-36 b,2022,1.41,0.68,1567.0,1.52,0.0063496262910279645,625.9113003211991,0.7874479175357155,8.865058188855944,886.5058188855944,18h31m00.24s,+07d11m00.05s,13.126
WASP-176 b,2020,1.505,0.855,1721.0,1.93,0.0059199797972643,622.8769199478494,0.8445974768884457,9.783720065679807,978.3720065679807,20h54m44.95s,+09d10m44.65s,12.005999999999998
LP 714-47 b,2020,0.419,0.09691,700.0,0.58,0.005914423768639716,173.24949435744654,0.8453908944623987,14.307094668067299,1430.7094668067298,04h16m45.65s,-12d05m05.51s,12.492
WASP-189 b,2020,1.619,1.99,3353.0,2.36,0.005330847942818446,603.3768701486858,0.9379370887394839,19.67751635780321,1967.751635780321,15h02m44.82s,-03d01m53.35s,6.597760000000001
TOI-169 b,2020,1.0859999999999999,0.7909999999999999,1715.0,1.29,0.004601362356641694,349.3508262746827,1.086634699130553,17.383120318695813,1738.3120318695812,01h07m06.89s,-75d11m56.20s,12.355
LHS 1815 b,2020,0.09699999999999999,0.02737,617.0,0.5,0.004273178848031345,28.97799402513777,1.1700891017710393,75.39494557943421,7539.494557943421,06h04m21.60s,-55d18m41.54s,12.167
TOI-905 b,2020,1.171,0.667,1192.0,0.92,0.00408955718765116,334.7947931112258,1.222626257702916,12.607324955118397,1260.7324955118397,15h10m38.08s,-71d21m41.87s,11.08
TOI-157 b,2020,1.286,1.18,1588.0,1.17,0.0033820375758406357,304.06393484846876,1.478398713165452,18.493153450511027,1849.3153450511027,04h54m48.35s,-76d40m50.18s,12.725
HAT-P-68 b,2020,1.072,0.7240000000000001,1028.0,0.67,0.002974529654194688,222.924911325522,1.6809380242516625,16.329011642086268,1632.9011642086268,07h53m55.96s,+23d56m17.59s,13.802
TOI-564 b,2020,1.02,1.463,1714.0,1.09,0.002335262107025624,166.52571934755377,2.1410872830752172,36.44642085770457,3644.6420857704566,08h41m10.84s,-16d02m10.78s,11.097000000000001
MASCARA-4 b,2020,1.53,3.1,2100.0,1.92,0.002025433556126442,216.6481305738042,2.468607269231924,34.323355254464694,3432.3355254464695,09h50m19.22s,-66d06m50.13s,8.191
TOI-1130 c,2020,1.5,0.9740000000000001,637.0,0.69,0.001917082062323916,201.03768608869095,2.6081303968484915,11.219857521861194,1121.9857521861193,19h05m30.24s,-41d26m15.50s,11.595
TOI-2109 b,2021,1.347,5.02,3646.0,1.7,0.0019118310557679923,180.0373542059054,2.615293848750393,71.7099515194818,7170.99515194818,16h52m44.71s,+16d34m47.70s,10.217
HIP 65 A b,2020,2.03,3.213,1411.0,0.72,0.0017421329512914746,247.24234121820874,2.8700450194076232,20.20828940895794,2020.828940895794,00h00m44.55s,-54d49m50.96s,11.0
TOI-1107 b,2022,1.3,3.35,1728.0,1.81,0.0013104222320234086,119.09680726188508,3.815564081417907,51.377031257079786,5137.703125707979,10h22m25.89s,-82d13m07.93s,10.552999999999999
NGTS-13 b,2021,1.1420000000000001,4.84,1605.0,1.79,7.400562796294447E-4,59.084881153428846,6.756242920475671,96.18870039337365,9618.870039337366,11h44m57.66s,-38d08m22.98s,12.744000000000002
TOI-628 b,2021,1.06,6.33,1586.0,1.34,5.190083049938978E-4,38.461452987054095,9.63375720945118,146.01681888143713,14601.681888143714,06h37m03.13s,+01d46m03.18s,10.112
HIP 94235 b,2022,0.268,1.1924700000000001,1060.0,1.08,4.65545535796945E-4,8.72253005943086,10.74008795174191,430.31727100195826,43031.72710019583,19h10m57.87s,-60d16m21.49s,8.31
TOI-559 b,2021,1.091,6.01,1180.0,1.23,4.186019576049868E-4,31.927985670811356,11.94452130278436,130.86872582465284,13086.872582465285,03h07m16.47s,-31d09m46.78s,11.091
